Year,State,Number of schools - Total,Number of schools - Primary (1-5),Number of schools - Upper Primary (1-8),Number of schools - Upper Primary (6-8),Number of schools -  Secondary (1-10),Number of schools - Secondary (6-10),Number of schools - Secondary (9-10),Number of schools - Higher Secondary (1-12),Number of schools - Higher Secondary (6-12),Number of schools - Higher Secondary (9-12),Number of schools - Higher Secondary (11-12)
2018-19,India,1083747,689989,167679,114716,16809,27448,15496,16083,21103,11766,2658
2018-19,Andaman and Nicobar Islands,339,182,58,1,41,3,0,34,16,4,0
2018-19,Andhra Pradesh,45013,33771,4221,0,637,5659,0,75,169,0,481
2018-19,Arunachal Pradesh,3179,1849,962,53,146,44,1,39,51,34,0
2018-19,Assam,47223,36748,2416,3327,898,2123,538,176,663,80,254
2018-19,Bihar,72630,40536,25847,230,1728,52,461,1246,49,2412,69
2018-19,Chandigarh,121,8,13,0,55,0,0,43,1,1,0
2018-19,Chhattisgarh,48671,30660,123,13119,55,8,1890,100,47,2661,8
2018-19,Dadra and Nagar Haveli,300,154,116,1,1,0,12,1,1,13,1
2018-19,Daman and Diu,112,43,3,38,1,0,13,0,2,10,2
2018-19,Delhi,2784,1675,3,16,24,79,0,505,481,1,0
2018-19,Goa,833,700,40,0,0,75,2,5,5,0,6
2018-19,Gujarat,35202,10676,22542,228,36,55,1061,43,149,268,144
2018-19,Haryana,14516,8717,6,2437,3,1214,0,35,2092,12,0
2018-19,Himachal Pradesh,15433,10631,5,1969,5,937,0,31,1855,0,0
2018-19,Jammu and Kashmir,23167,12982,7486,126,1363,358,33,216,140,461,2
2018-19,Jharkhand,35954,21430,11617,17,1495,89,310,200,441,292,63
2018-19,Karnataka,50184,21491,21897,280,541,946,3461,43,94,728,703
2018-19,Kerala,5011,2611,1045,58,207,52,35,420,397,175,11
2018-19,Ladakh,913,404,379,9,54,25,2,6,6,27,1
2018-19,Lakshadweep,45,15,15,0,2,0,0,4,5,4,0
2018-19,Madhya Pradesh,122056,82746,20,29871,17,507,4504,92,49,4250,0
2018-19,Maharashtra,66033,43552,20571,7,924,323,200,340,72,4,40
2018-19,Manipur,3073,2065,550,17,267,98,0,27,31,15,3
2018-19,Meghalaya,7802,5448,6,2226,14,65,1,12,23,2,5
2018-19,Mizoram,2564,1291,1,948,2,4,290,2,4,0,22
2018-19,Nagaland,2007,1069,601,26,116,136,4,6,47,1,1
2018-19,Odisha,55483,32527,15830,1155,2952,1318,1048,55,243,0,355
2018-19,Puducherry,423,234,48,1,38,35,0,6,51,7,3
2018-19,Punjab,19404,12958,8,2654,20,1693,0,106,1953,2,10
2018-19,Rajasthan,67607,33154,19293,198,3626,73,0,10816,375,72,0
2018-19,Sikkim,854,476,171,0,117,2,0,83,5,0,0
2018-19,Tamil Nadu,37728,24382,7055,24,57,3096,2,85,3022,5,0
2018-19,Telangana,29822,19752,3305,0,675,5040,0,305,293,0,452
2018-19,Tripura,4309,2198,1128,1,583,6,0,329,64,0,0
2018-19,Uttar Pradesh,163142,113847,194,46386,55,40,1425,379,664,149,3
2018-19,Uttarakhand,16934,11844,13,2659,11,736,203,48,1337,76,7
2018-19,West Bengal,82876,67163,91,6634,43,2557,0,170,6206,0,12
2019-20,India,1032570,643044,203347,73505,18689,27516,13499,17665,22608,10114,2583
2019-20,Andaman and Nicobar Islands,342,185,57,1,42,3,0,34,16,4,0
2019-20,Andhra Pradesh,45115,33786,4187,1,594,5577,0,168,284,1,517
2019-20,Arunachal Pradesh,3056,1744,936,54,148,48,2,39,49,36,0
2019-20,Assam,47157,36691,2438,3293,899,2127,535,176,665,81,252
2019-20,Bihar,72610,40524,25567,225,1805,51,442,1445,50,2431,70
2019-20,Chandigarh,121,8,13,0,55,0,0,43,1,1,0
2019-20,Chhattisgarh,48547,30538,127,13079,55,8,1888,102,53,2689,8
2019-20,Dadra and Nagar Haveli,300,154,116,1,1,0,12,1,1,13,1
2019-20,Daman and Diu,109,42,3,36,0,0,13,1,2,10,2
2019-20,Delhi,2767,1652,5,16,23,78,0,508,484,1,0
2019-20,Goa,827,694,40,0,0,75,2,5,5,0,6
2019-20,Gujarat,35040,10953,22074,230,49,46,1038,51,159,297,143
2019-20,Haryana,14484,8684,7,2394,2,1139,0,37,2220,1,0
2019-20,Himachal Pradesh,15398,10594,4,1948,5,942,0,31,1874,0,0
2019-20,Jammu and Kashmir,23165,12976,7483,124,1361,359,32,222,143,463,2
2019-20,Jharkhand,35931,21410,11613,13,1496,89,306,204,443,288,69
2019-20,Karnataka,49834,21198,21872,260,548,973,3465,38,98,714,668
2019-20,Kerala,5014,2607,1055,56,207,52,35,420,395,178,9
2019-20,Ladakh,913,403,378,9,56,24,2,6,7,27,1
2019-20,Lakshadweep,45,15,14,1,2,0,0,4,5,4,0
2019-20,Madhya Pradesh,99411,63917,13336,12741,1537,789,2627,1159,753,2551,1
2019-20,Maharashtra,65886,43317,20630,12,938,316,208,349,77,3,36
2019-20,Manipur,2876,1897,517,7,330,44,0,37,28,12,4
2019-20,Meghalaya,7799,5447,5,2223,13,68,1,13,22,2,5
2019-20,Mizoram,2552,1283,1,943,2,2,290,3,6,0,22
2019-20,Nagaland,2011,1071,600,25,118,138,3,6,49,1,0
2019-20,Odisha,53260,30774,15624,925,3061,1267,970,60,290,0,289
2019-20,Puducherry,422,233,48,1,38,34,0,6,51,8,3
2019-20,Punjab,19377,12935,8,2650,20,1690,0,107,1955,3,9
2019-20,Rajasthan,67660,33208,19115,200,3670,63,0,10950,385,69,0
2019-20,Sikkim,851,464,169,0,119,3,0,91,5,0,0
2019-20,Tamil Nadu,37579,24310,6973,51,32,3101,2,103,3001,5,1
2019-20,Telangana,30001,19796,3320,0,757,4961,0,340,377,0,450
2019-20,Tripura,4275,2162,1120,2,584,5,0,339,63,0,0
2019-20,Uttar Pradesh,137638,88532,23800,22694,35,31,1432,268,698,147,1
2019-20,Uttarakhand,16741,11706,14,2616,11,731,194,47,1345,73,4
2019-20,West Bengal,83456,67134,78,6674,76,2682,0,252,6549,1,10
2020-21,India,1032049,640461,202293,72610,18966,27393,13469,18361,22900,12992,2604
2020-21,Andaman and Nicobar Islands,342,185,57,0,42,4,0,34,16,4,0
2020-21,Andhra Pradesh,45145,33760,4137,13,656,5519,0,234,285,0,541
2020-21,Arunachal Pradesh,3061,1744,941,49,149,52,2,38,50,36,0
2020-21,Assam,46749,36329,2436,3259,901,2133,525,178,658,79,251
2020-21,Bihar,75555,40523,25430,223,1813,51,424,1573,50,5391,77
2020-21,Chandigarh,121,8,13,0,55,0,0,43,1,1,0
2020-21,Chhattisgarh,48619,30585,126,13084,53,11,1874,159,62,2657,8
2020-21,Daman and Diu and Dadra and Nagar Haveli,407,196,119,34,1,0,25,2,3,24,3
2020-21,Delhi,2751,1635,5,16,22,79,0,510,483,1,0
2020-21,Goa,821,687,38,0,0,78,2,5,2,0,9
2020-21,Gujarat,34967,12209,20607,199,65,45,1106,53,170,372,141
2020-21,Haryana,14563,8687,6,2446,4,1124,0,37,2258,1,0
2020-21,Himachal Pradesh,15391,10583,3,1948,6,936,0,30,1885,0,0
2020-21,Jammu and Kashmir,23167,12973,7485,123,1361,361,31,223,145,463,2
2020-21,Jharkhand,35888,21370,11611,12,1496,88,306,204,447,287,67
2020-21,Karnataka,49791,21147,21878,229,552,1009,3470,36,97,712,661
2020-21,Kerala,5020,2607,1056,56,207,51,35,424,397,178,9
2020-21,Ladakh,915,404,374,9,60,22,2,7,9,27,1
2020-21,Lakshadweep,45,20,9,1,2,0,0,4,3,6,0
2020-21,Madhya Pradesh,99152,63695,13408,12621,1526,798,2582,1163,921,2437,1
2020-21,Maharashtra,65734,43126,20639,9,962,319,211,353,78,3,34
2020-21,Manipur,2878,1901,514,5,335,43,0,43,30,5,2
2020-21,Meghalaya,7795,5441,8,2215,13,75,1,13,22,2,5
2020-21,Mizoram,2558,1280,1,941,2,7,290,3,6,0,28
2020-21,Nagaland,1975,1043,594,22,136,121,3,7,48,1,0
2020-21,Odisha,50256,27743,15706,888,3160,1177,948,61,286,0,287
2020-21,Puducherry,422,233,48,1,38,34,0,6,51,8,3
2020-21,Punjab,19330,12891,7,2646,20,1685,0,108,1961,3,9
2020-21,Rajasthan,68813,34132,19000,199,3690,51,0,11277,397,67,0
2020-21,Sikkim,851,464,169,0,119,3,0,91,5,0,0
2020-21,Tamil Nadu,37589,24311,6976,51,31,3104,2,129,2980,4,1
2020-21,Telangana,30015,19790,3269,0,772,4953,0,397,385,0,449
2020-21,Tripura,4265,2145,1115,2,595,6,0,340,62,0,0
2020-21,Uttar Pradesh,137068,87895,24404,22112,34,27,1440,276,731,149,0
2020-21,Uttarakhand,16651,11633,13,2601,11,730,190,48,1347,73,5
2020-21,West Bengal,83379,67086,91,6596,77,2697,0,252,6569,1,10
2021-22,India,1022386,632454,205837,66656,20033,26763,12620,19341,23633,12458,2591
2021-22,Andaman and Nicobar Islands,342,185,57,0,42,4,0,34,16,4,0
2021-22,Andhra Pradesh,45137,33763,4111,10,1152,5004,0,229,321,0,547
2021-22,Arunachal Pradesh,2985,1673,935,45,149,56,2,38,51,36,0
2021-22,Assam,45490,34947,2947,2882,1000,2006,399,275,713,79,242
2021-22,Bihar,75558,40523,25397,221,1813,51,406,1610,51,5410,76
2021-22,Chandigarh,123,8,12,0,54,0,0,46,1,2,0
2021-22,Chhattisgarh,48743,30688,122,13055,60,11,1867,283,96,2553,8
2021-22,Daman and Diu and Dadra and Nagar Haveli,388,167,158,5,1,0,25,2,3,24,3
2021-22,Delhi,2762,1626,4,13,21,76,0,517,484,21,0
2021-22,Goa,814,680,38,0,0,78,2,5,2,0,9
2021-22,Gujarat,34699,12481,20042,177,82,35,1070,56,177,437,142
2021-22,Haryana,14562,8676,6,2444,5,1099,0,37,2294,1,0
2021-22,Himachal Pradesh,15380,10563,3,1949,6,936,0,30,1893,0,0
2021-22,Jammu and Kashmir,23173,12974,7490,122,1371,350,32,220,148,464,2
2021-22,Jharkhand,35840,21318,11613,12,1434,78,259,269,457,333,67
2021-22,Karnataka,49679,21045,21873,213,556,1025,3470,37,100,710,650
2021-22,Kerala,5010,2594,1057,56,208,49,35,425,399,178,9
2021-22,Ladakh,838,331,369,10,60,23,1,7,9,27,1
2021-22,Lakshadweep,38,16,9,0,0,0,0,4,4,5,0
2021-22,Madhya Pradesh,92695,58518,17344,7411,2037,917,1932,1462,1211,1862,1
2021-22,Maharashtra,65639,43034,20624,9,958,321,235,357,77,3,21
2021-22,Manipur,2889,1910,506,5,332,41,0,56,32,5,2
2021-22,Meghalaya,7783,5428,8,2210,13,81,1,13,22,2,5
2021-22,Mizoram,2563,1277,1,940,2,7,293,3,6,0,34
2021-22,Nagaland,1960,1032,595,22,139,113,3,10,45,1,0
2021-22,Odisha,49072,27145,15117,858,3163,1166,948,63,322,0,290
2021-22,Puducherry,422,233,47,1,37,36,0,6,50,8,4
2021-22,Punjab,19259,12830,5,2499,23,1703,0,124,2063,3,9
2021-22,Rajasthan,68948,33781,19290,208,3710,48,0,11445,399,67,0
2021-22,Sikkim,864,475,171,0,119,3,0,91,5,0,0
2021-22,Tamil Nadu,37636,24275,6978,45,28,3075,2,213,3017,2,1
2021-22,Telangana,30023,19792,3254,0,742,4914,0,449,420,0,452
2021-22,Tripura,4262,2129,1122,2,599,6,0,350,54,0,0
2021-22,Uttar Pradesh,137024,87811,24435,22092,33,27,1448,277,751,149,1
2021-22,Uttarakhand,16484,11502,15,2563,10,730,190,48,1350,71,5
2021-22,West Bengal,83302,67024,82,6577,74,2694,0,250,6590,1,10
